id,name,sku,price,description,images
1,Product 1,SKU1001,10.0,This is the description for product 1.,https://example.com/images/product1.jpg
2,Product 2,SKU1002,12.5,This is the description for product 2.,https://example.com/images/product2.jpg
3,Product 3,SKU1003,15.0,This is the description for product 3.,https://example.com/images/product3.jpg
4,Product 4,SKU1004,17.5,This is the description for product 4.,https://example.com/images/product4.jpg
5,Product 5,SKU1005,20.0,This is the description for product 5.,https://example.com/images/product5.jpg
6,Product 6,SKU1006,22.5,This is the description for product 6.,https://example.com/images/product6.jpg
7,Product 7,SKU1007,25.0,This is the description for product 7.,https://example.com/images/product7.jpg
8,Product 8,SKU1008,27.5,This is the description for product 8.,https://example.com/images/product8.jpg
9,Product 9,SKU1009,30.0,This is the description for product 9.,https://example.com/images/product9.jpg
10,Product 10,SKU1010,32.5,This is the description for product 10.,https://example.com/images/product10.jpg
11,Product 11,SKU1011,35.0,This is the description for product 11.,https://example.com/images/product11.jpg
12,Product 12,SKU1012,37.5,This is the description for product 12.,https://example.com/images/product12.jpg
13,Product 13,SKU1013,40.0,This is the description for product 13.,https://example.com/images/product13.jpg
14,Product 14,SKU1014,42.5,This is the description for product 14.,https://example.com/images/product14.jpg
15,Product 15,SKU1015,45.0,This is the description for product 15.,https://example.com/images/product15.jpg
16,Product 16,SKU1016,47.5,This is the description for product 16.,https://example.com/images/product16.jpg
17,Product 17,SKU1017,50.0,This is the description for product 17.,https://example.com/images/product17.jpg
18,Product 18,SKU1018,52.5,This is the description for product 18.,https://example.com/images/product18.jpg
19,Product 19,SKU1019,55.0,This is the description for product 19.,https://example.com/images/product19.jpg
20,Product 20,SKU1020,57.5,This is the description for product 20.,https://example.com/images/product20.jpg
21,Product 21,SKU1021,60.0,This is the description for product 21.,https://example.com/images/product21.jpg
22,Product 22,SKU1022,62.5,This is the description for product 22.,https://example.com/images/product22.jpg
23,Product 23,SKU1023,65.0,This is the description for product 23.,https://example.com/images/product23.jpg
24,Product 24,SKU1024,67.5,This is the description for product 24.,https://example.com/images/product24.jpg
25,Product 25,SKU1025,70.0,This is the description for product 25.,https://example.com/images/product25.jpg
26,Product 26,SKU1026,72.5,This is the description for product 26.,https://example.com/images/product26.jpg
27,Product 27,SKU1027,75.0,This is the description for product 27.,https://example.com/images/product27.jpg
28,Product 28,SKU1028,77.5,This is the description for product 28.,https://example.com/images/product28.jpg
29,Product 29,SKU1029,80.0,This is the description for product 29.,https://example.com/images/product29.jpg
30,Product 30,SKU1030,82.5,This is the description for product 30.,https://example.com/images/product30.jpg
31,Product 31,SKU1031,85.0,This is the description for product 31.,https://example.com/images/product31.jpg
32,Product 32,SKU1032,87.5,This is the description for product 32.,https://example.com/images/product32.jpg
33,Product 33,SKU1033,90.0,This is the description for product 33.,https://example.com/images/product33.jpg
34,Product 34,SKU1034,92.5,This is the description for product 34.,https://example.com/images/product34.jpg
35,Product 35,SKU1035,95.0,This is the description for product 35.,https://example.com/images/product35.jpg
36,Product 36,SKU1036,97.5,This is the description for product 36.,https://example.com/images/product36.jpg
37,Product 37,SKU1037,100.0,This is the description for product 37.,https://example.com/images/product37.jpg
38,Product 38,SKU1038,102.5,This is the description for product 38.,https://example.com/images/product38.jpg
39,Product 39,SKU1039,105.0,This is the description for product 39.,https://example.com/images/product39.jpg
40,Product 40,SKU1040,107.5,This is the description for product 40.,https://example.com/images/product40.jpg
41,Product 41,SKU1041,110.0,This is the description for product 41.,https://example.com/images/product41.jpg
42,Product 42,SKU1042,112.5,This is the description for product 42.,https://example.com/images/product42.jpg
43,Product 43,SKU1043,115.0,This is the description for product 43.,https://example.com/images/product43.jpg
44,Product 44,SKU1044,117.5,This is the description for product 44.,https://example.com/images/product44.jpg
45,Product 45,SKU1045,120.0,This is the description for product 45.,https://example.com/images/product45.jpg
46,Product 46,SKU1046,122.5,This is the description for product 46.,https://example.com/images/product46.jpg
47,Product 47,SKU1047,125.0,This is the description for product 47.,https://example.com/images/product47.jpg
48,Product 48,SKU1048,127.5,This is the description for product 48.,https://example.com/images/product48.jpg
49,Product 49,SKU1049,130.0,This is the description for product 49.,https://example.com/images/product49.jpg
50,Product 50,SKU1050,132.5,This is the description for product 50.,https://example.com/images/product50.jpg
51,Product 51,SKU1051,135.0,This is the description for product 51.,https://example.com/images/product51.jpg
52,Product 52,SKU1052,137.5,This is the description for product 52.,https://example.com/images/product52.jpg
53,Product 53,SKU1053,140.0,This is the description for product 53.,https://example.com/images/product53.jpg
54,Product 54,SKU1054,142.5,This is the description for product 54.,https://example.com/images/product54.jpg
55,Product 55,SKU1055,145.0,This is the description for product 55.,https://example.com/images/product55.jpg
56,Product 56,SKU1056,147.5,This is the description for product 56.,https://example.com/images/product56.jpg
57,Product 57,SKU1057,150.0,This is the description for product 57.,https://example.com/images/product57.jpg
58,Product 58,SKU1058,152.5,This is the description for product 58.,https://example.com/images/product58.jpg
59,Product 59,SKU1059,155.0,This is the description for product 59.,https://example.com/images/product59.jpg
60,Product 60,SKU1060,157.5,This is the description for product 60.,https://example.com/images/product60.jpg
